課程代碼,課程名稱,學分
PHU0214,實驗物理（三）,3
PHC0088,生物物理（二）－結構生物物理學,3
PHC0100,半導體物理導論（一）,3
PHC9001,固態物理導論（一）,3
PHC9012,海外實習,2
PHC9014,新興材料與光電元件（一）,3
PHU0224,普通物理實驗（一）,1
PHU0251,普通物理乙（一）,3
PHU0253,基礎物理,3
PHU0254,基礎物理實驗,1
PHU0257,物理研究之批判性思考與辯論簡介（一）,3
PHU0247,基礎數學物理（一）,1
PHU0249,普通物理甲（一）,3
PHU0008,熱物理學,3
PHU0011,數學物理（一）,3
PHU0135,實驗物理技術（一）,3
PHU0165,實驗物理（一）,3
PHU0230,力學（一）,3
PHU0014,光學,3
PHU0197,計算物理（一）,3
PHU0255,量子資訊導論 （一）,3
01UG003,西洋古典音樂,2
01UG004,音樂鑑賞,2
01UG006,臺灣小說選讀,2
01UG008,旅行文學,2
01UG011,亞裔美國文學與電影的藝術形式,2
01UG012,舞蹈鑑賞,3
01UG016,戲劇鑑賞,2
01UG018,民間文學與說唱藝術,2
01UG021,文學與電影,3
01UG027,日本美術鑑賞,2
01UG033,音樂與戲劇,2
01UG037,高行健與表演藝術,2
01UG039,鋼琴黃金年代,2
01UG040,台灣美術,2
02UG001,哲學入門,2
02UG005,道德推理,2
02UG008,中國古代思想的現代意義,2
02UG010,人生哲學與批判性思考,2
02UG015,生物哲學導論,2
02UG019,佛學中的人生智慧,2
03UG003,多元文化,2
03UG005,現代公民與法律,2
03UG006,憲法與人權,2
03UG012,臺灣流行文化,2
03UG024,環境與傳播,2
03UG027,女性文學、性別平等理論與婦運,2
03UG029,管理與電影,2
03UG031,鑑識科學概論,2
03UG041,管理學入門,2
03UG042,科技產業營業秘密保護與智慧財產權,2
03UG045,當代社會與文化關鍵議題,2
03UG047,生活中的SDGs,2
04UG003,文明的探索,2
04UG006,歷史、影像與真相,2
04UG013,臺灣歷史與電影,2
04UG015,臺灣歷史與文化,2
04UG023,２０世紀動盪時局下的知識份子,2
04UG024,臺灣文史與城市發展,2
04UG028,孫子兵法與人生,2
04UG030,客家社會探究,2
04UG033,東南亞文化與歷史概略,2
00UA744,基礎華語（一）,2
00UA7A1,中文閱讀與思辨,2
00UA7A2,中文閱讀與思辨,2
00UA7A3,中文閱讀與思辨,2
00UA7A4,中文閱讀與思辨,2
00UA7A5,中文閱讀與思辨,2
00UA7A6,中文閱讀與思辨,2
00UA7A7,中文閱讀與思辨,2
00UA7A8,中文閱讀與思辨,2
00UB7A1,英文（一）,2
00UB7A2,英文（一）,2
00UB7A3,英文（一）,2
00UB7A4,英文（一）,2
00UB7A5,英文（一）,2
00UB9A1,英文（三）：文學與文化,2
00UB9C1,英文（三）：科技英文,2
00UB9D1,英文（三）：藝術英文,2
00UB9E1,英文（三）：運動英文,2
00UB9E2,英文（三）：運動英文,2
00UB9H1,英文（三）：商用英文,2
00UB9H2,英文（三）：商用英文,2
00UB9L1,英文（三）：科學英文,2
00UB9M1,英文（三）：社會科學英文,2
00UB9N1,英文（三）：學術英文寫作與口語表達,2
00UB9P1,英文（三）：專業英語簡報,2
AEU0078,類比積體電路導論,3
AEU0003,數位系統,3
AEU0005,計算機概論,3
AEU0013,程式設計,3
AEU0006,電子學（一）,3
AEU0007,電子學實驗（一）,2
AEU0015,工程數學（二）,3
AEU0017,電路學（二）,3
AEU0022,資料結構,3
AEU0066,線性代數,3
AEU0077,機器學習在教育上的應用,3
AEU0019,電工實驗,2
AEU0021,感測與轉換,3
AEU0027,通訊原理（一）,3
AEU0030,電機機械（一）,3
AEU0043,控制系統,3
AEU0070,電機專題製作（一）,2
ESC0007,時序分析,3
ESC0009,數值天氣預報,3
ESC9001,地球科學資料處理,3
ESC9006,熱帶氣象學,3
ESC9008,礦物學（含實習）,3
ESC9013,構造地質學（含實習）,3
ESC9015,天氣學,3
ESC9025,新興海洋科學發展趨勢,3
ESC9026,海洋物理學概論,3
ESC9028,海洋資源與永續發展,3
ESC9038,地球科學產學實務與實習（二）,3
ESC9049,恆星形成,3
ESU0177,地球科學概論（含實習）,2
ESU0179,大氣科學概論（含實習）,3
ESU0180,普通地質學（含實習）,3
ESU0184,地球物理通論（含實習）,3
ESU0023,應用數學（一）,3
ESU0077,觀測地震學,3
ESU0098,環境地質學,3
ESU0183,天文觀測（含實習）,3
ESU0199,大氣觀測（含實習）,3
ESU0218,地球科學概論甲（含實習）,4
ESU0222,行星與地球系統科學論文寫作課程（一）,3
ESU0224,臺語天文學,3
ESU0058,大氣動力學（一）,3
ESU0088,天氣預報與分析,3
ESU0171,大氣物理學,3
ESU0201,天文中的物理,3
ESU0219,地球科學產學實務與實習（一）,3
ESUE001,地球科學教材教法（教）,2
ESUE110,地球科學教學實習（一）（教）,2
CSU0001,程式設計（一）,3
CSU0013,資料結構,3
CSU0049,類比數位運算元件,3
CSU0050,類比數位運算元件實驗,1
CSUE301,資訊科技教材教法（教）,2
CSC0001,資料探勘,3
CSC0006,網路計算與XML,3
CSC0012,語音處理,3
CSC0056,資料通訊,3
CSC0072,資訊安全,3
CSC9005,資料視覺化,3
CSC9011,預測學習,3
CSC9013,資訊安全架構,3
CSC9014,人工智慧導論,3
CSC9015,物聯網概論與資料科學,3
CSU0015,機率論,3
CSU0016,線性代數,3
CSU0027,系統程式,3
CSU0028,軟體工程,3
CSU0036,資訊專題研究（一）：資訊理論,3
CSU0037,資訊專題研究（一）：資訊系統,3
CSU0038,區域性網路,3
0SUG526,大學入門,2